Google Play Store ID,App name,Category
(only Appstore),Whim,Alternative Data
(only Appstore),The League,Elite
(only Appstore),Suitr,Elite
(only Appstore),Hinge,Popular
co.uk.qsoft.gaydar,Gaydar,Popular Gay dating
com.adam4adam.radar2.ui,Adam4Adam,Popular Gay dating
com.appluvfree,LuvFree,Alternative Data
com.appspot.scruffapp,SCRUFF,Popular Gay dating
com.ashleymadison.mobile,Ashley Madison,Popular
com.badoo.mobile,Badoo,Popular 
com.beetalk,Beetalk,Popular (Statista)
com.blued.international,Blued,Popular Gay dating
com.boyahoy.android,BoyAhoy,Popular Gay dating
com.coffeemeetsbagel,Coffee Meets Bagel,Popular
com.ftw_and_co.happn,Happn,Popular
com.grindrapp.android,Grindr,Popular Gay dating
com.hitwe.android,Hitwe,Popular (Statista)
com.hornet.android,Hornet,Popular Gay dating
com.immomo.momo,Momo,Popular Local apps
com.initechapps.growlr,Growlr,Popular Gay dating
com.ipart.android,iPair,Popular Local apps
com.mason.wooplus,WooPlus/BBW Dating,Alternative Data
com.match.android.matchmobile,Match.com,Popular
com.mico,Mico,Popular (Statista)
com.myyearbook.m,MeetMe,Popular (Statista)
com.okcupid.okcupid,OkCupid,Popular
com.paktor,Paktor,Popular Local apps
com.planetromeo.android.app,Romeo,Popular Gay dating 
com.pof.android,PoF Free Dating App,Popular (Statista)
com.rocketshipapps.belinked,BeLinked,Alternative Data
com.sapio.android,Sapio,Alternative Data 
com.skout.android,Skout,Popular (Statista)
com.tinder,Tinder,Popular
com.wamba.bbs,Anonymous Dating,Alternative Data
com.whoshere.whoshere,WhosHere,Popular Local apps
com.zoosk.zoosk,Zoosk,Popular
de.affinitas.za.co.elitesingles.and,Elite Singles,Elite
fr.im,Frim,Popular Local apps
jp.co.applibros.alligatorxx,9monsters,Popular Gay dating
mobi.jackd.android,Jack'd,Popular Gay dating
net.lovoo.android,Lovoo,Popular Local apps
